2026-02-03 16:51:58 | SUCCESS | SOLANA | DOWN | $0.9800 | 51 shares | $49.98 | 0x2091df601f380549c982674422eb7efeaca259b8212f5c4b20725ca921f10e00
2026-02-03 17:06:36 | SUCCESS | XRP | UP | $0.9800 | 51 shares | $49.98 | 0x274bb8570776d8bdc2a146823342bbbd61781470f07ae2010e831ed04d02214f
2026-02-03 17:11:07 | SUCCESS | SOLANA | DOWN | $0.9800 | 51 shares | $49.98 | 0x5a73a2f03f35ef8499a7814c1eea64ddcb42879b08079438e6b7986ce7c0a4a0
2026-02-03 17:11:20 | SUCCESS | ETHEREUM | DOWN | $0.9800 | 51 shares | $49.98 | 0x85f95f99ac7a4a22750917c929ad89445c86618cf3f40b719440c8350e26fcab
2026-02-03 17:11:27 | SUCCESS | BITCOIN | DOWN | $0.9900 | 50 shares | $49.50 | 0x25a20a1e2c9c554a10348e26b4d67cdaa2a821eac01c609ae646f3f08e6f0bea
2026-02-03 17:36:25 | SUCCESS | SOLANA | UP | $0.9800 | 51 shares | $49.98 | 0x16207e72e6237f9dee27c1c9e41c7b90b8c1f8bdaea5eff50408144627460fbd
2026-02-03 17:36:34 | SUCCESS | ETHEREUM | UP | $0.9800 | 51 shares | $49.98 | 0x1a7436cdea0c1767d911a5988e30a39ffa3c4284bf007ca81601cb97046825d8
2026-02-03 17:36:36 | SUCCESS | XRP | UP | $0.9800 | 51 shares | $49.98 | 0xe08e55349d96e26875f9ee990bf4bee40a735e10ac6daee0093e2b03ea0f5bb7
2026-02-03 17:40:42 | SUCCESS | BITCOIN | UP | $0.9800 | 51 shares | $49.98 | 0xe02e45fc2c68bdda649a9717876dcc12200dccd3575f2fdf3fd696bde5f61c29
2026-02-03 17:58:55 | SUCCESS | BITCOIN | UP | $0.9900 | 50 shares | $49.50 | 0xb90ff8624165eda842bd4a4b2f1b0b805bc561241ba480f91de6db782ec7573a
2026-02-03 17:59:06 | SUCCESS | ETHEREUM | DOWN | $0.9400 | 23 shares | $21.62 | 0x340024ac537285e7f978ae4066fc555fa58b1f1a5ca602b7d144a8100fcd2cd7
2026-02-03 17:59:08 | SUCCESS | SOLANA | DOWN | $0.9700 | 20 shares | $19.40 | 0x637fa9950274f4bfbe5873222e0675a5196dde22bdf338314ca4b4989cc34ab0
2026-02-03 18:12:39 | SUCCESS | BITCOIN | UP | $0.9800 | 51 shares | $49.98 | 0x2d4bc89e4f2fa58f9ae782727928fbcb09f9f3d363698ce5b7bca02b706908b6
2026-02-03 18:13:21 | SUCCESS | XRP | UP | $0.9800 | 51 shares | $49.98 | 0x8372f92e1512010a33cd11addf85aa6363bcd0b8bf25e428828527a9755e2576
2026-02-03 18:22:07 | SUCCESS | XRP | DOWN | $0.9600 | 52 shares | $49.92 | 0xd060db5743c2d4fc1d83081f2fd7cb6d380dcc11cb1fb97e9da8b8595eb21aa9
2026-02-03 18:27:07 | SUCCESS | SOLANA | UP | $0.9700 | 51 shares | $49.47 | 0xce41819644281386b2bd8b305693665a3dcf74ab5718ab474e43ee34eac76b99
2026-02-03 18:27:46 | SUCCESS | BITCOIN | DOWN | $0.9700 | 51 shares | $49.47 | 0x0c5bd030ce9f8e92c1fd6490e0c97015ecd7ba1e95774a287e08e3ac3ae0085d
2026-02-03 18:28:12 | SUCCESS | ETHEREUM | DOWN | $0.9700 | 51 shares | $49.47 | 0x347f1372ef7a6e39882762e708ddd0767d5f4a234fed6aa348861279c7a3349d
2026-02-03 18:37:40 | SUCCESS | SOLANA | DOWN | $0.9600 | 52 shares | $49.92 | 0xe3c8b42f4e12ff140ad5725d532fdbfd1fa71a9656b24e615869537ae12fd22b
2026-02-03 18:37:43 | SUCCESS | ETHEREUM | DOWN | $0.9600 | 52 shares | $49.92 | 0xaf2f15131047292521b77113a5e8ba70ee3c785ef2db5ffd570d4bc828ef0fe5
2026-02-03 18:37:58 | SUCCESS | XRP | DOWN | $0.9600 | 52 shares | $49.92 | 0x6ef22f566f002fffed88c1a20e26c2d48b48c574a4ff6f0ad0c62d72e7490a94
2026-02-03 18:41:07 | SUCCESS | BITCOIN | DOWN | $0.9600 | 52 shares | $49.92 | 0x2228e36140ed0c8215f187ac764b5a927da35d37292d2dd41ba36174efbee71b
